z_percentile,if_percentile,cusum_min_h,z_thr_crisis,z_thr_post,if_thr,n_alerts,alerts_per_month,n_tp_72h,n_tp_7d,precision_72h,precision_7d,precision_30d,recall_event,n_events_in_window,n_events_detected,fp_rate_per_month_outside_72h,median_lag_hours
93.0,80,1,0.4665553008994832,0.7610574393963029,0.340800554591596,710,19.735730593607308,119,154,0.1676056338028169,0.21690140845070421,0.7901408450704225,0.8333333333333334,24,20,16.42791095890411,368.0
93.0,80,2,0.4665553008994832,0.7610574393963029,0.340800554591596,617,17.15062785388128,101,131,0.16369529983792544,0.21231766612641814,0.8006482982171799,0.8333333333333334,24,20,14.343150684931508,369.0
93.0,80,3,0.4665553008994832,0.7610574393963029,0.340800554591596,549,15.260445205479453,86,113,0.15664845173041894,0.2058287795992714,0.8087431693989071,0.7916666666666666,24,19,12.869920091324202,370.0
93.0,80,5,0.4665553008994832,0.7610574393963029,0.340800554591596,445,12.369577625570777,65,88,0.14606741573033707,0.19775280898876405,0.8292134831460675,0.625,24,15,10.562785388127855,379.0
93.0,85,1,0.4665553008994832,0.7610574393963029,0.37471741925003604,686,19.068607305936073,114,146,0.1661807580174927,0.21282798833819241,0.782798833819242,0.8333333333333334,24,20,15.899771689497719,368.0
93.0,85,2,0.4665553008994832,0.7610574393963029,0.37471741925003604,593,16.483504566210048,96,123,0.16188870151770657,0.20741989881956155,0.7925801011804384,0.8333333333333334,24,20,13.815011415525115,369.0
93.0,85,3,0.4665553008994832,0.7610574393963029,0.37471741925003604,526,14.621118721461189,81,105,0.15399239543726237,0.19961977186311788,0.8003802281368821,0.7916666666666666,24,19,12.369577625570777,370.0
93.0,85,5,0.4665553008994832,0.7610574393963029,0.37471741925003604,425,11.813641552511417,62,82,0.14588235294117646,0.19294117647058823,0.8211764705882353,0.625,24,15,10.090239726027399,379.0
93.0,90,1,0.4665553008994832,0.7610574393963029,0.4197262263376946,647,17.98453196347032,99,128,0.15301391035548687,0.19783616692426584,0.7789799072642968,0.8333333333333334,24,20,15.232648401826484,368.0
93.0,90,2,0.4665553008994832,0.7610574393963029,0.4197262263376946,557,15.482819634703198,83,107,0.1490125673249551,0.19210053859964094,0.7881508078994613,0.8333333333333334,24,20,13.17568493150685,392.5
93.0,90,3,0.4665553008994832,0.7610574393963029,0.4197262263376946,496,13.787214611872146,70,93,0.14112903225806453,0.1875,0.7983870967741935,0.75,24,18,11.841438356164385,370.0
93.0,90,5,0.4665553008994832,0.7610574393963029,0.4197262263376946,399,11.090924657534247,53,73,0.13283208020050125,0.18295739348370926,0.8195488721804511,0.5833333333333334,24,14,9.617694063926942,411.0
93.0,95,1,0.4665553008994832,0.7610574393963029,0.48496240887865055,570,15.844178082191782,73,98,0.1280701754385965,0.17192982456140352,0.7649122807017544,0.7916666666666666,24,19,13.815011415525115,368.0
93.0,95,2,0.4665553008994832,0.7610574393963029,0.48496240887865055,485,13.4814497716895,59,79,0.12164948453608247,0.16288659793814433,0.7752577319587629,0.75,24,18,11.841438356164385,369.0
93.0,95,3,0.4665553008994832,0.7610574393963029,0.48496240887865055,433,12.03601598173516,48,67,0.11085450346420324,0.15473441108545036,0.7852193995381063,0.6666666666666666,24,16,10.701769406392694,370.0
93.0,95,5,0.4665553008994832,0.7610574393963029,0.48496240887865055,351,9.756678082191781,36,52,0.10256410256410256,0.14814814814814814,0.8062678062678063,0.5833333333333334,24,14,8.755993150684931,411.5
93.0,98,1,0.4665553008994832,0.7610574393963029,0.5939604467248247,403,11.20211187214612,47,67,0.11662531017369727,0.1662531017369727,0.7617866004962779,0.7916666666666666,24,19,9.895662100456622,368.0
93.0,98,2,0.4665553008994832,0.7610574393963029,0.5939604467248247,339,9.423116438356166,37,52,0.10914454277286136,0.15339233038348082,0.7787610619469026,0.6666666666666666,24,16,8.394634703196347,404.5
93.0,98,3,0.4665553008994832,0.7610574393963029,0.5939604467248247,299,8.311244292237443,30,44,0.10033444816053512,0.14715719063545152,0.7959866220735786,0.5833333333333334,24,14,7.477340182648402,405.5
93.0,98,5,0.4665553008994832,0.7610574393963029,0.5939604467248247,251,6.976997716894978,23,35,0.09163346613545817,0.1394422310756972,0.8127490039840638,0.5416666666666666,24,13,6.337671232876713,443.0
95.0,80,1,0.5965846749066422,1.3547720567729769,0.340800554591596,603,16.761472602739726,98,128,0.1625207296849088,0.21227197346600332,0.7761194029850746,0.8333333333333334,24,20,14.03738584474886,368.0
95.0,80,2,0.5965846749066422,1.3547720567729769,0.340800554591596,512,14.231963470319636,80,105,0.15625,0.205078125,0.787109375,0.8333333333333334,24,20,12.008219178082193,369.0
95.0,80,3,0.5965846749066422,1.3547720567729769,0.340800554591596,451,12.536358447488585,67,90,0.14855875831485588,0.19955654101995565,0.7960088691796009,0.7083333333333334,24,17,10.673972602739727,370.0
95.0,80,5,0.5965846749066422,1.3547720567729769,0.340800554591596,360,10.006849315068493,51,71,0.14166666666666666,0.19722222222222222,0.8166666666666667,0.5416666666666666,24,13,8.589212328767124,443.0
95.0,85,1,0.5965846749066422,1.3547720567729769,0.37471741925003604,587,16.31672374429224,94,121,0.16013628620102216,0.2061328790459966,0.7700170357751278,0.8333333333333334,24,20,13.703824200913242,368.0
95.0,85,2,0.5965846749066422,1.3547720567729769,0.37471741925003604,496,13.787214611872146,76,98,0.1532258064516129,0.1975806451612903,0.780241935483871,0.8333333333333334,24,20,11.674657534246576,369.0
