episode_id,start,end,duration_hours,regime,max_alert_level,max_score,max_residual,mean_residual,max_atc_fatigue
1842,2024-10-11 07:00:00,2024-10-12 18:00:00,36,post_excepcion,rojo,0.9768860339084454,27.437896404266354,1.1900350903180918,1178.0
1526,2024-01-16 06:00:00,2024-01-17 09:00:00,28,post_excepcion,rojo,0.9474779653388921,26.22666198730468,2.0863128286373933,221.0
1766,2024-06-30 15:00:00,2024-07-06 09:00:00,139,post_excepcion,rojo,0.9214851729381072,23.374467849731445,2.5383100424676113,809.0
1590,2024-03-12 06:00:00,2024-03-14 22:00:00,65,post_excepcion,rojo,0.8580548773851694,19.716208190917968,3.3967200211561632,437.0
1240,2023-06-24 06:00:00,2023-06-26 16:00:00,59,excepcion_iberica,rojo,0.8471347355175207,3.536892623901366,0.3545726880570087,2173.0
1512,2024-01-01 10:00:00,2024-01-05 12:00:00,99,post_excepcion,rojo,0.8334070348459004,19.062959671020508,0.9631365246507998,20.0
1626,2024-04-12 06:00:00,2024-04-13 07:00:00,26,post_excepcion,rojo,0.8324851435738585,17.51995193481445,2.094433374427832,139.0
1756,2024-06-24 11:00:00,2024-06-27 07:00:00,69,post_excepcion,rojo,0.8262614665682156,16.953845214843753,0.9321135503202009,591.0
1926,2024-12-13 21:00:00,2024-12-14 05:00:00,9,post_excepcion,rojo,0.8176385051875291,17.37314455509187,2.794011954863868,99.0
1856,2024-10-20 09:00:00,2024-10-21 09:00:00,25,post_excepcion,rojo,0.8169744771601486,9.313655853271484,1.413408583203703,1385.0
1588,2024-03-06 18:00:00,2024-03-08 23:00:00,54,post_excepcion,rojo,0.8160655928800089,15.689810791015617,1.1437277515967919,294.0
1814,2024-09-10 10:00:00,2024-09-11 08:00:00,23,post_excepcion,rojo,0.8130546954693515,16.169488449096683,2.5544710380260063,424.0
1704,2024-06-05 11:00:00,2024-06-06 05:00:00,19,post_excepcion,rojo,0.7979435308849784,12.347939910888677,1.9558372340468986,85.0
1542,2024-01-31 06:00:00,2024-02-01 00:00:00,19,post_excepcion,rojo,0.7901529445322809,14.043212089538585,1.8367524366002341,20.0
810,2022-08-21 18:00:00,2022-08-22 19:00:00,26,excepcion_iberica,rojo,0.7888875604254311,2.1623496055603084,0.3096792665732884,3.0
1558,2024-02-13 08:00:00,2024-02-13 12:00:00,5,post_excepcion,rojo,0.7884704583369632,13.97301385879517,2.9605265117287645,51.0
1732,2024-06-13 14:00:00,2024-06-13 20:00:00,7,post_excepcion,rojo,0.7839485347086734,8.555356178283692,3.9421050188371107,268.0
1850,2024-10-18 11:00:00,2024-10-19 18:00:00,32,post_excepcion,rojo,0.782183750789624,9.62373161315918,1.3621646378870356,1346.0
1840,2024-10-03 12:00:00,2024-10-04 14:00:00,27,post_excepcion,rojo,0.7802957415645778,8.431939468383788,0.9926052137505676,982.0
1718,2024-06-09 00:00:00,2024-06-09 16:00:00,17,post_excepcion,rojo,0.7753639406755197,6.8004844665527315,1.730658161859301,168.0
1880,2024-11-11 14:00:00,2024-11-11 22:00:00,9,post_excepcion,rojo,0.7741860165454741,10.925768394470218,3.7472152723868692,18.0
1222,2023-06-17 10:00:00,2023-06-18 16:00:00,31,excepcion_iberica,rojo,0.7730089340594036,2.825323314666747,0.2712403790772921,1981.0
820,2022-09-17 15:00:00,2022-09-18 03:00:00,13,excepcion_iberica,rojo,0.7722459477408837,2.1202667999267604,0.4277607448972194,21.0
804,2022-08-15 11:00:00,2022-08-16 07:00:00,21,excepcion_iberica,rojo,0.7705151105159498,1.8908009338378804,0.25746098595360983,4.0
1652,2024-05-07 15:00:00,2024-05-08 06:00:00,16,post_excepcion,rojo,0.7640837610559519,9.453682174682617,1.2706572347134353,27.0
748,2022-07-15 08:00:00,2022-07-16 01:00:00,18,excepcion_iberica,rojo,0.7599690236153573,2.3673860549926644,0.28920318970870557,1.0
886,2022-12-20 07:00:00,2022-12-21 00:00:00,18,excepcion_iberica,rojo,0.7483582351789881,2.757588310241701,0.2168109551850811,526.0
698,2022-04-16 12:00:00,2022-04-17 19:00:00,32,excepcion_iberica,rojo,0.7466676195886826,3.678827629089355,0.2764243734802583,5.0
1754,2024-06-22 10:00:00,2024-06-23 00:00:00,15,post_excepcion,rojo,0.7455827031842154,7.298626251220703,1.5407438598473868,488.0
664,2022-02-13 04:00:00,2022-02-13 16:00:00,13,excepcion_iberica,rojo,0.7453562399741439,4.370105438232429,0.6865989231375565,3.0
778,2022-08-01 10:00:00,2022-08-01 15:00:00,6,excepcion_iberica,rojo,0.7432092681211873,2.044488410949711,0.5601897687713304,3.0
562,2021-07-19 08:00:00,2021-07-19 16:00:00,9,pre_crisis,rojo,0.7429077378856488,1.879857063293457,0.454961263264219,1.0
834,2022-09-28 07:00:00,2022-09-28 17:00:00,11,excepcion_iberica,rojo,0.7428084764196705,2.1376955795288097,0.27171732542189697,62.0
1434,2023-10-18 05:00:00,2023-10-18 13:00:00,9,excepcion_iberica,rojo,0.7365446302061864,2.4520737838745124,0.3659646334416337,58.0
860,2022-11-06 15:00:00,2022-11-06 20:00:00,6,excepcion_iberica,rojo,0.7328211556740354,1.9504748535156295,0.42045381285250255,5.0
1256,2023-07-01 08:00:00,2023-07-03 18:00:00,59,excepcion_iberica,rojo,0.7324686495406657,1.4719487380981349,0.21086898059663084,2343.0
696,2022-04-04 07:00:00,2022-04-05 00:00:00,18,excepcion_iberica,rojo,0.7312703311518282,3.306721124649073,0.23130719833463964,2.0
