model,rmse,pinball_q95
A_v3_mean,3.4114870396299617,0.438202778038637
B_v3_mean_R,3.7085172603902143,0.4499057466482875
C_v4_quant,5.988039397186959,0.2607772065900281
D_v4_quant_R,6.231989934775214,0.2614230780026884
AR1,3.464946995360928,0.3344261332693394
AR24,3.483055079066225,0.3844495306010226
