event_id,magnitude,event_type,out_of_window,detected,lag_hours,variant
EVT037,MUY_ALTA,MERCADO,False,True,1759.0,V0b_baseline_roja
EVT038,MEDIA,MERCADO,False,True,1759.0,V0b_baseline_roja
EVT039,BAJA,INFRAESTRUCTURA,False,True,39.0,V0b_baseline_roja
EVT040,ALTA,MERCADO,False,True,1015.0,V0b_baseline_roja
EVT001,ALTA,INFRAESTRUCTURA,True,False,,V1_no_persist
EVT002,MEDIA,MERCADO,True,False,,V1_no_persist
EVT003,ALTA,CLIMATICO,True,False,,V1_no_persist
EVT004,ALTA,CLIMATICO,True,False,,V1_no_persist
EVT005,MEDIA,MERCADO,True,False,,V1_no_persist
EVT006,MUY_ALTA,REGULATORIO,True,False,,V1_no_persist
EVT007,ALTA,MERCADO,True,False,,V1_no_persist
EVT008,ALTA,CLIMATICO,True,False,,V1_no_persist
EVT009,ALTA,MERCADO,True,False,,V1_no_persist
EVT010,MUY_ALTA,INFRAESTRUCTURA,True,False,,V1_no_persist
EVT011,ALTA,MERCADO,True,False,,V1_no_persist
EVT012,MUY_ALTA,MERCADO,True,False,,V1_no_persist
EVT013,MEDIA,REGULATORIO,True,False,,V1_no_persist
EVT014,MUY_ALTA,MERCADO,True,False,,V1_no_persist
EVT015,MUY_ALTA,MERCADO,True,False,,V1_no_persist
EVT016,MUY_ALTA,MERCADO,True,False,,V1_no_persist
EVT017,MUY_ALTA,INFRAESTRUCTURA,False,True,960.0,V1_no_persist
EVT018,MEDIA,MERCADO,False,True,216.0,V1_no_persist
EVT019,MUY_ALTA,GEOPOLITICO,False,False,,V1_no_persist
EVT020,MUY_ALTA,MERCADO,False,True,19.0,V1_no_persist
EVT021,ALTA,INFRAESTRUCTURA,False,True,1023.0,V1_no_persist
EVT022,MUY_ALTA,REGULATORIO,False,True,439.0,V1_no_persist
EVT023,MUY_ALTA,MERCADO,False,True,439.0,V1_no_persist
EVT024,ALTA,CLIMATICO,False,True,279.0,V1_no_persist
EVT025,MEDIA,LABORAL,False,False,,V1_no_persist
EVT026,MUY_ALTA,INFRAESTRUCTURA,False,False,,V1_no_persist
EVT027,MUY_ALTA,MERCADO,False,True,41.0,V1_no_persist
EVT028,MEDIA,LABORAL,False,True,922.0,V1_no_persist
EVT029,ALTA,MERCADO,False,True,610.0,V1_no_persist
EVT030,MEDIA,CLIMATICO,False,True,539.0,V1_no_persist
EVT031,MEDIA,MERCADO,False,True,539.0,V1_no_persist
EVT032,ALTA,MERCADO,False,True,295.0,V1_no_persist
EVT033,ALTA,REGULATORIO,False,False,,V1_no_persist
EVT034,ALTA,MERCADO,False,True,368.0,V1_no_persist
EVT035,ALTA,MERCADO,False,False,,V1_no_persist
EVT036,ALTA,MERCADO,False,False,,V1_no_persist
EVT037,MUY_ALTA,MERCADO,False,True,368.0,V1_no_persist
EVT038,MEDIA,MERCADO,False,True,368.0,V1_no_persist
EVT039,BAJA,INFRAESTRUCTURA,False,True,39.0,V1_no_persist
EVT040,ALTA,MERCADO,False,True,823.0,V1_no_persist
EVT001,ALTA,INFRAESTRUCTURA,True,False,,V2_no_AND
EVT002,MEDIA,MERCADO,True,False,,V2_no_AND
EVT003,ALTA,CLIMATICO,True,False,,V2_no_AND
EVT004,ALTA,CLIMATICO,True,False,,V2_no_AND
EVT005,MEDIA,MERCADO,True,False,,V2_no_AND
EVT006,MUY_ALTA,REGULATORIO,True,False,,V2_no_AND
EVT007,ALTA,MERCADO,True,False,,V2_no_AND
EVT008,ALTA,CLIMATICO,True,False,,V2_no_AND
EVT009,ALTA,MERCADO,True,False,,V2_no_AND
EVT010,MUY_ALTA,INFRAESTRUCTURA,True,False,,V2_no_AND
EVT011,ALTA,MERCADO,True,False,,V2_no_AND
EVT012,MUY_ALTA,MERCADO,True,False,,V2_no_AND
EVT013,MEDIA,REGULATORIO,True,False,,V2_no_AND
EVT014,MUY_ALTA,MERCADO,True,False,,V2_no_AND
EVT015,MUY_ALTA,MERCADO,True,False,,V2_no_AND
EVT016,MUY_ALTA,MERCADO,True,False,,V2_no_AND
EVT017,MUY_ALTA,INFRAESTRUCTURA,False,True,191.0,V2_no_AND
EVT018,MEDIA,MERCADO,False,True,216.0,V2_no_AND
EVT019,MUY_ALTA,GEOPOLITICO,False,False,,V2_no_AND
EVT020,MUY_ALTA,MERCADO,False,True,19.0,V2_no_AND
EVT021,ALTA,INFRAESTRUCTURA,False,True,179.0,V2_no_AND
EVT022,MUY_ALTA,REGULATORIO,False,True,295.0,V2_no_AND
EVT023,MUY_ALTA,MERCADO,False,True,295.0,V2_no_AND
EVT024,ALTA,CLIMATICO,False,True,112.0,V2_no_AND
EVT025,MEDIA,LABORAL,False,True,203.0,V2_no_AND
EVT026,MUY_ALTA,INFRAESTRUCTURA,False,True,135.0,V2_no_AND
EVT027,MUY_ALTA,MERCADO,False,True,32.0,V2_no_AND
EVT028,MEDIA,LABORAL,False,True,152.0,V2_no_AND
EVT029,ALTA,MERCADO,False,True,8.0,V2_no_AND
EVT030,MEDIA,CLIMATICO,False,True,347.0,V2_no_AND
EVT031,MEDIA,MERCADO,False,True,347.0,V2_no_AND
EVT032,ALTA,MERCADO,False,True,175.0,V2_no_AND
EVT033,ALTA,REGULATORIO,False,False,,V2_no_AND
EVT034,ALTA,MERCADO,False,True,367.0,V2_no_AND
EVT035,ALTA,MERCADO,False,False,,V2_no_AND
EVT036,ALTA,MERCADO,False,False,,V2_no_AND
EVT037,MUY_ALTA,MERCADO,False,True,367.0,V2_no_AND
EVT038,MEDIA,MERCADO,False,True,367.0,V2_no_AND
EVT039,BAJA,INFRAESTRUCTURA,False,True,39.0,V2_no_AND
EVT040,ALTA,MERCADO,False,True,175.0,V2_no_AND
EVT001,ALTA,INFRAESTRUCTURA,True,False,,V3_window24h
EVT002,MEDIA,MERCADO,True,False,,V3_window24h
EVT003,ALTA,CLIMATICO,True,False,,V3_window24h
EVT004,ALTA,CLIMATICO,True,False,,V3_window24h
EVT005,MEDIA,MERCADO,True,False,,V3_window24h
EVT006,MUY_ALTA,REGULATORIO,True,False,,V3_window24h
EVT007,ALTA,MERCADO,True,False,,V3_window24h
EVT008,ALTA,CLIMATICO,True,False,,V3_window24h
EVT009,ALTA,MERCADO,True,False,,V3_window24h
EVT010,MUY_ALTA,INFRAESTRUCTURA,True,False,,V3_window24h
EVT011,ALTA,MERCADO,True,False,,V3_window24h
EVT012,MUY_ALTA,MERCADO,True,False,,V3_window24h
