regime,spec,rmse,mae,r2,recall_extreme,f1_extreme,n,n_extreme,train_period,test_period
pre_crisis,regime_specific,1.6544858390715527,0.3597358848203883,0.25835919542456753,0.5254237288135594,0.5299145299145299,5251,59,"['2019-01-02 00:00:00', '2021-05-27 04:00:00']","['2021-05-27 05:00:00', '2021-12-31 23:00:00']"
crisis_y_excepcion,regime_specific,2.918422053692858,0.5257097629660799,0.4250991516968141,0.4375,0.4028776978417266,3499,64,"['2022-01-01 00:00:00', '2023-08-08 04:00:00']","['2023-08-08 05:00:00', '2023-12-31 23:00:00']"
post_excepcion,regime_specific,2.295146275216775,0.5050511436598819,0.2025292991586053,0.5,0.5057471264367817,1757,44,"['2024-01-01 00:00:00', '2024-10-19 18:00:00']","['2024-10-19 19:00:00', '2024-12-31 23:00:00']"
POOLED_ALL,unified,2.5322590122818927,0.5302296039788047,0.18715244598063063,0.5029940119760479,0.4827586206896552,10507,167,"['2019-01-02 00:00:00', '2021-05-27 04:00:00']","['2021-05-27 05:00:00', '2024-12-31 23:00:00']"
pre_crisis,unified,1.6284064572911299,0.4160344509936197,0.28155564058407223,0.5254237288135594,0.5166666666666667,5251,59,"['2019-01-02 00:00:00', '2021-05-27 04:00:00']","['2021-05-27 05:00:00', '2021-12-31 23:00:00']"
crisis_y_excepcion,unified,3.5649648788199193,0.6433955037180802,0.1421580824661488,0.46875,0.45454545454545453,3499,64,"['2019-01-02 00:00:00', '2021-05-27 04:00:00']","['2023-08-08 05:00:00', '2023-12-31 23:00:00']"
post_excepcion,unified,2.260949153574523,0.6461495044554584,0.2261164976829575,0.5227272727272727,0.4791666666666667,1757,44,"['2019-01-02 00:00:00', '2021-05-27 04:00:00']","['2024-10-19 19:00:00', '2024-12-31 23:00:00']"
