variant,n_events_in_window,n_detected,recall_event,median_lag_h,mean_lag_h,p25_lag_h,p75_lag_h,recall_at_24h,recall_at_48h,recall_at_168h,total_triggers,fpr_per_month,precision_72h
V0_baseline_naranja,24,20,0.8333333333333334,180.0,248.75,121.25,313.0,0.2,0.25,0.5,751,17.77777777777778,0.1478029294274301
V0b_baseline_roja,24,13,0.5416666666666666,777.0,1010.6923076923077,539.0,1759.0,0.0,0.07692307692307693,0.07692307692307693,61,1.3611111111111112,0.19672131147540983
V1_no_persist,24,18,0.75,403.5,460.3888888888889,283.0,592.25,0.05555555555555555,0.16666666666666666,0.16666666666666666,126,2.9444444444444446,0.15873015873015872
V2_no_AND,24,20,0.8333333333333334,185.0,201.05,129.25,308.0,0.1,0.2,0.35,284,6.472222222222222,0.1795774647887324
V3_window24h,24,6,0.25,1281.0,1573.0,327.0,1533.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,26,0.6666666666666666,0.07692307692307693
V4_EWMA,24,18,0.75,367.0,344.6111111111111,183.0,440.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,75,1.6666666666666667,0.2
V4b_p1_ewma_k95_persist1,24,20,0.8333333333333334,143.5,116.65,15.5,169.75,0.4,0.4,0.75,1569,37.611111111111114,0.13702995538559593
V4b_p2_ewma_k95_persist2,24,20,0.8333333333333334,144.5,121.6,17.25,179.25,0.35,0.4,0.55,1032,24.805555555555557,0.13468992248062014
V_naive_spread_p99,24,21,0.875,152.0,172.76190476190476,11.0,279.0,0.42857142857142855,0.47619047619047616,0.5238095238095238,407,9.277777777777779,0.17936117936117937
