tau_eur_mwh,positive_rate,logistic_auc_roc,logistic_auc_pr,logistic_brier,logistic_lead_med_h,logistic_frac_adv,lgbm_auc_roc,lgbm_auc_pr,lgbm_brier,lgbm_lead_med_h,lgbm_frac_adv,n_transitions
0.5,0.03910146582905007,0.7842525089506001,0.22069400974917353,0.23106187553580593,48.0,0.9473684210526315,0.8560693151432759,0.3566763318774489,0.05296505388719997,26.0,0.7543859649122807,171
1.0,0.03575099942889777,0.7891323859300732,0.19732508845876137,0.22755588531893664,48.0,0.9615384615384616,0.8641759407378806,0.3583887520354344,0.04826853384506143,26.5,0.7243589743589743,156
2.0,0.03063011612411955,0.7840174435375765,0.167124657453184,0.23227636854753328,48.0,0.9420289855072463,0.8587117835247067,0.32914016140769264,0.0436921907692599,24.0,0.6884057971014492,138
5.0,0.02141633352370074,0.7634377863841479,0.13600968987268047,0.2540616687454352,48.0,0.9333333333333333,0.8387320629270387,0.2670795161288003,0.03457554074759626,4.0,0.5047619047619047,105
