quantile,alpha_selected,pinball_LQRA_B,pinball_best_single_B,best_single_name,delta_LQRA_minus_best,coverage_B,nominal_coverage,n_B
0.05,0.5,0.05554599271402551,0.27172529329703354,AR1,-0.21617930058300805,0.001366120218579235,0.05,4392
0.25,0.05,0.19487791961239204,0.282871752537428,AR1,-0.08799383292503599,0.02117486338797814,0.25,4392
0.5,0.001,0.2756839088129387,0.29680482658792107,AR1,-0.021120917774982373,0.04121129326047359,0.5,4392
0.75,0.001,0.31649344012968733,0.3107379006384141,AR1,0.0057555394912732205,0.04007285974499089,0.25,4392
0.95,0.001,0.30380097585706495,0.32188435987880853,AR1,-0.018083384021743587,0.03506375227686703,0.050000000000000044,4392
