model,rmse_spread,pinball_spread_q95
Decomposed (ES - FR),3.7689504570365093,0.9325420593307366
Decomposed +R,3.8493230688360875,1.0704220267210773
Direct (single XGB),3.4114870396299617,0.438202778038637
AR(1),3.464946995360928,0.3344261332693394
AR(24),3.483055079066225,0.3844495306010226
