benchmark,n,dm_sq_stat,dm_sq_pvalue,dm_sq_mean_diff_A_minus_B,gw_pinball_stat,gw_pinball_pvalue,gw_pinball_df,mean_pinball_A,mean_pinball_B,pinball_diff_A_minus_B,winner_q95,rejects_H0_at_5pct
AR(1),8783,-1.7598212319269544,0.07843812195714728,-1.434327879808268,4.323111117761752,0.11514586547927819,2,0.35892683365059047,0.32998480324535584,0.02894203040523463,B,False
AR(24),8783,-1.8848208316066768,0.0594540314888643,-1.4577631468288341,5.7801189929587995,0.055572906120857524,2,0.35892683365059047,0.3730378833709224,-0.014111049720331947,A,False
