timestamp,regime,spread_observed,spread_predicted,residual,score_if,anomaly_if,cusum_pos,cusum_neg,cusum_alert,cusum_score,knn_score,knn_mean_dist,score_composite,alert_level
2019-01-02 00:00:00,pre_crisis,0.0,0.11018316,-0.11018315702676773,0.19590892292958106,0,0.0,0.0,0,0.0,0.009517374349140195,0.24990838099987256,0.09985793633461858,verde
2019-01-02 01:00:00,pre_crisis,1.8699999999999974,1.6310505,0.23894953250884754,0.34927874320386,0,0.1862106256095279,0.0,0,0.17813473167675445,0.012535049678642008,0.3279184790116885,0.23058680104068474,verde
2019-01-02 02:00:00,pre_crisis,6.190000000000005,5.4369283,0.7530717277526904,0.614889873489293,0,0.8865434464628986,0.0,1,0.8480943471325356,0.023174781530058208,0.6029667973095496,0.5665081971904188,naranja
2019-01-02 03:00:00,pre_crisis,5.760000000000005,5.67584,0.08416009902954613,0.1506489506903309,0,0.917964638593125,0.0,1,0.8781528124363288,0.0071218172776088716,0.18798069775440265,0.34019468253158586,ambar
2019-01-02 04:00:00,pre_crisis,5.859999999999999,5.98719,-0.12718976974487362,0.21756908705156086,0,0.7380359619489317,0.07539508914176951,1,0.7060275836527846,0.009548702963005638,0.25071825879365794,0.32250255921421694,ambar
2019-01-02 05:00:00,pre_crisis,5.390000000000001,5.192634,0.19736589431762752,0.3115725015558958,0,0.8826629493672395,0.0,1,0.8443821459268044,0.012286848546313234,0.321502217305096,0.4115582642652518,ambar
2019-01-02 06:00:00,pre_crisis,0.0,0.13089165,-0.13089165091514587,0.22225741600718307,0,0.699032391552774,0.07909697031204177,1,0.6687155853486477,0.011085776872588425,0.29045324458411204,0.31396053898270354,ambar
2019-01-02 07:00:00,pre_crisis,0.0,0.014341919,-0.014341918751597404,0.07705678465816601,0,0.6319515659018569,0.04164420846053507,1,0.6045440331675254,0.0062347383086249555,0.16504876845169655,0.22113854994106558,verde
2019-01-02 08:00:00,pre_crisis,0.0,-0.0056456714,0.005645671393722296,0.05881393177495775,0,0.5848583303962595,0.0,1,0.5594932158840321,0.006002790779574237,0.15905267957561714,0.19845548880860336,verde
2019-01-02 09:00:00,pre_crisis,0.0,-0.04125882,0.04125881940126419,0.10106752010965403,0,0.5733782428982039,0.0,1,0.5485110160262215,0.006200165752187079,0.16415503131242548,0.21632709801313088,verde
2019-01-02 10:00:00,pre_crisis,0.0,-0.01955944,0.01955943927168846,0.07525170597350861,0,0.5401987752705727,0.0,1,0.5167705310583045,0.00551736616824308,0.14650394010815998,0.19376048553789427,verde
2019-01-02 11:00:00,pre_crisis,0.0,-0.019197067,0.019197067245841026,0.07292204193215024,0,0.506656935617094,0.0,0,0.48468339002078775,0.005793212195809006,0.15363485158701032,0.18302468041147324,verde
2019-01-02 12:00:00,pre_crisis,0.0,0.0015164793,-0.0015164793003350496,0.055049098411086295,0,0.45240154941743926,0.0,0,0.4327810421764676,0.006129621023783111,0.16233137549259313,0.15858478606324006,verde
2019-01-02 13:00:00,pre_crisis,0.0,-0.010088973,0.010088972747325897,0.06027903784153932,0,0.40975161526544557,0.0,0,0.3919808217200475,0.006768796842109051,0.17885474622996833,0.1490875248052057,verde
2019-01-02 14:00:00,pre_crisis,0.0,-0.015689224,0.015689224004745483,0.06992961498106431,0,0.37270193237087146,0.0,0,0.3565379714555667,0.007147818021361519,0.18865284447233965,0.14335576253147445,verde
2019-01-02 15:00:00,pre_crisis,0.0,-0.021522602,0.021522602066397667,0.07842345316471055,0,0.34148562753794953,0.0,0,0.3266755075540019,0.006785153980742456,0.17927759555889047,0.13857140964470432,verde
2019-01-02 16:00:00,pre_crisis,0.0,-0.019914849,0.01991484872996807,0.07400731501745239,0,0.308661569368598,0.0,0,0.2952750180523951,0.006782431920427006,0.17920722742156092,0.1269426493085301,verde
2019-01-02 17:00:00,pre_crisis,0.0,-0.04332994,0.04332993924617767,0.10260975676569539,0,0.2992526017154561,0.0,0,0.2862741142491809,0.006575219133042391,0.17385055777087188,0.13850215648421046,verde
2019-01-02 18:00:00,pre_crisis,0.0,-0.0097933,0.009793300181627274,0.061909994392159606,0,0.25630699499776377,0.0,0,0.24519104444953727,0.006463499774321963,0.17096249422129295,0.10580501048580537,verde
2019-01-02 19:00:00,pre_crisis,0.0,-0.012029461,0.01202946063131094,0.0644219873311418,0,0.2155975487297551,0.0,0,0.20624715355220746,0.006452511296991915,0.17067843046362582,0.09537564199063152,verde
2019-01-02 20:00:00,pre_crisis,0.0,-0.009865042,0.009865041822195053,0.06230061760097405,0,0.1727236836526305,0.0,0,0.16523271398164313,0.006422661280941588,0.16990677598675913,0.08200465525116828,verde
2019-01-02 21:00:00,pre_crisis,0.0,0.010382326,-0.010382326319813728,0.07130454335417746,0,0.10960245043349712,0.0,0,0.10484902800351688,0.00645635713690349,0.1707778494917455,0.06839825150552449,verde
2019-01-02 22:00:00,pre_crisis,0.0,-0.004332984,0.0043329838663339615,0.05879405130759496,0,0.06119652740051143,0.0,0,0.058542454021385706,0.0056896546432324765,0.1509577793561509,0.04809769278885969,verde
2019-01-02 23:00:00,pre_crisis,0.0,-0.004888096,0.004888095892965794,0.05767014708450979,0,0.013345716394157575,0.0,0,0.012766917038839918,0.005988632910434202,0.15868668368849997,0.03386287523599371,verde
2019-01-03 00:00:00,pre_crisis,0.0,0.24308626,-0.24308626353740692,0.37168737128636,0,0.0,0.19129158293430282,0,0.18299532954407352,0.012370984361288596,0.3236772170833576,0.24321648137865978,verde
2019-01-03 01:00:00,pre_crisis,0.0,-0.0011832502,0.0011832502204924822,0.05830160083529379,0,0.0,0.13831365211070623,0,0.1323150342539418,0.006888351158237685,0.18194535171285506,0.07022298092547696,verde
2019-01-03 02:00:00,pre_crisis,0.0,-0.13498116,0.1349811553955078,0.2367306815914133,0,0.08224224849618816,0.0,0,0.07867542907611513,0.009260828081311965,0.24327638871687576,0.14382013513480357,verde
2019-01-03 03:00:00,pre_crisis,0.0,-0.042440146,0.04244014620780945,0.08341893129786582,0,0.07194348780467796,0.0,0,0.06882332226760117,0.005921202663145623,0.1569435404986024,0.06354070286184238,verde
2019-01-03 04:00:00,pre_crisis,0.0,-0.004502369,0.004502369090914726,0.032822316323072864,0,0.02370694999627304,0.0,0,0.022678787328257878,0.006105821672666255,0.16171613710193763,0.024435958694547046,verde
2019-01-03 05:00:00,pre_crisis,0.0,-0.011461085,0.011461084708571434,0.00834158970122012,0,0.0,0.0,0,0.0,0.000913429245311263,0.027487302669757373,0.004353480699672313,verde
2019-01-03 06:00:00,pre_crisis,0.0,0.0011683375,-0.0011683375341817737,0.0005151571445342062,0,0.0,0.0,0,0.0,0.00037205878745842993,0.013492303915277944,0.0003319903297587891,verde
2019-01-03 07:00:00,pre_crisis,0.0,-0.016322168,0.016322167590260506,0.018585039116336244,0,0.0,0.0,0,0.0,0.0005855213525874747,0.019010536928873722,0.009409623828685617,verde
